conv_4,fc_4,conv_12,fc_12,conv_36,fc_36,conv_48,fc_48,conv_64,fc_64,conv_96,fc_96,conv_124,fc_124,conv_148,fc_148
1846,30,4777,44,9423,64,17487,64,18283,68,18370,84,23253,86,28221,87
1735,30,4827,44,9564,64,19267,64,19416,68,21181,84,21544,86,25262,87
1650,30,4805,44,10343,64,17148,64,17453,68,17060,84,21903,86,29572,87
1768,30,4842,44,10155,64,18213,64,17628,68,19194,84,27102,86,30743,87
1697,30,4926,44,10307,64,19291,64,17651,68,21183,84,26663,86,30763,87
1744,30,4942,44,8600,64,16849,64,17892,68,17251,84,23306,86,28000,87
1755,30,4967,44,10221,64,18848,64,18298,68,18854,84,26337,86,24904,87
1788,30,4883,44,10393,64,18328,64,18313,68,18465,84,24455,86,27645,87
1816,30,4647,44,9612,64,17311,64,17734,68,18178,84,23805,86,28409,87
1857,30,4998,44,10020,64,20159,64,17899,68,20814,84,22551,86,27592,87
1717,30,4844,44,9863,64,18231,64,17875,68,17815,84,23828,86,28747,87
1732,30,4781,44,9608,64,19017,64,17383,68,20899,84,22447,86,29012,87
1823,30,4704,44,9423,64,17795,64,17664,68,19495,84,20931,86,26596,87
1836,30,4705,44,10421,64,18183,64,18246,68,18645,84,24492,86,25058,87
1758,30,4825,44,10538,64,19204,64,18856,68,16336,84,26287,86,23825,87
1785,30,4440,44,9567,64,17864,64,18239,68,19239,84,22565,86,29972,87
1842,30,4354,44,10248,64,17512,64,16653,68,15895,84,23416,86,29743,87
1765,30,4794,44,9184,64,19321,64,17495,68,17281,84,23014,86,27789,87
1742,30,4777,44,9637,64,19714,64,18864,68,18034,84,25192,86,31689,87
1818,30,4929,44,10590,64,17629,64,18049,68,20384,84,25318,86,28991,87
1703,30,4685,44,9765,64,18116,64,17895,68,20434,84,21824,86,25349,87
1738,30,4842,44,9413,64,18348,64,17007,68,17753,84,24220,86,28710,87
1830,30,4708,44,9734,64,19018,64,18414,68,19550,84,22076,86,27583,87
1693,30,4944,44,8595,64,18640,64,18373,68,18529,84,25358,86,30143,87
1706,30,4319,44,10275,64,17660,64,16909,68,20072,84,21884,86,28593,87
1782,30,4600,44,8389,64,17485,64,15968,68,17771,84,22871,86,28390,87
1727,30,5034,44,9917,64,15133,64,17432,68,17636,84,20934,86,31569,87
1833,30,4723,44,10123,64,14243,64,16744,68,20186,84,27069,86,28677,87
1735,30,4878,44,8793,64,19039,64,17330,68,16954,84,22427,86,27727,87
1807,30,4779,44,9923,64,17540,64,15879,68,16699,84,24869,86,32025,87
1734,30,4618,44,9886,64,18396,64,17957,68,19178,84,23619,86,27654,87
1670,30,4665,44,9740,64,18905,64,17447,68,19196,84,24570,86,27493,87
1785,30,4921,44,10302,64,18242,64,16220,68,18850,84,22264,86,27199,87
1754,30,4776,44,9914,64,20088,64,17757,68,18509,84,21891,86,26441,87
1694,30,4631,44,10619,64,18700,64,18170,68,18300,84,23223,86,28334,87
