h_dim,train_loss,test_loss,train_accuracy,test_accuracy
5,0.6780383795309168,0.6799363057324841,32.2,32.04
15,0.1902485341151386,0.19247611464968153,80.97,80.75
30,0.13091351279317698,0.1214171974522293,86.905,87.89
45,0.11255663646055437,0.11027070063694268,88.74,88.95
50,0.10924173773987207,0.10648885350318471,89.07,89.36
5,0.726612473347548,0.7338773885350318,27.338333333333335,26.62
45,[0.0953158315565032],[0.09524283439490445],[90.465],[90.43]
45,0.10121268656716417,0.10380175159235669,89.875,89.63
45,0.11548840618336886,0.11544585987261147,88.44666666666667,88.46
45,0.10890858208955224,0.10519506369426751,89.105,89.52
