h_dim,train_loss,test_loss,train_accuracy,test_accuracy
200,1.3719473276287317,0.6761452620196494,71.45,83.86
1100,0.9277651337906718,0.43180407692862166,77.625,87.37
200,0.6414751149713993,0.3539561876303451,80.0,89.45
1100,0.7461276124231517,0.34751096326312064,76.45,88.67
200,0.6371825635433197,0.43627240848104665,79.775,86.38
1100,0.7143049538135529,0.3147931268474289,77.5,90.96
200,0.6700387839227915,0.3950737681548307,78.9,87.87
1100,0.6937027126550674,0.31300117044596915,78.85,89.92
200,0.6835776730440557,0.35678587357994096,78.4,89.48
1100,0.6675834394991398,0.31619112518064346,78.65,89.84
