h_dim,train_loss,test_loss,train_accuracy,test_accuracy
5,0.41804371002132196,0.42048168789808915,58.193333333333335,57.93
15,0.15578358208955223,0.15097531847133758,84.41333333333333,84.98
30,0.14212420042643922,0.13654458598726116,85.78333333333333,86.46
45,0.15696628464818763,0.15047770700636942,84.29666666666667,85.0
50,0.1296475213219616,0.12559713375796178,87.03,87.44
5,0.44148121002132196,0.4469546178343949,55.85166666666667,55.33
45,[0.0861207356076759],[0.08628582802547771],[91.38666666666667],[91.33]
45,0.09986340618336886,0.09872611464968153,90.01,90.14
45,0.11828691364605544,0.11246019108280254,88.16666666666667,88.79
45,0.12035247867803837,0.1106687898089172,87.96,89.0
