h_dim,train_loss,test_loss,train_accuracy,test_accuracy
5,0.23367537313432835,0.22929936305732485,76.625,77.14
15,0.08312233475479744,0.0842953821656051,91.685,91.56
30,0.06786380597014925,0.07016321656050956,93.21166666666667,92.95
45,0.05818563432835821,0.06011146496815287,94.17833333333333,93.99
50,0.05393789978678038,0.05603105095541401,94.60333333333334,94.37
5,0.2216651119402985,0.22511942675159236,77.82833333333333,77.5
45,[0.008845282515991471],[0.028761942675159236],[99.115],[97.11]
45,0.009411647121535182,0.02965764331210191,99.05833333333334,97.02
45,0.04076159381663113,0.04339171974522293,95.925,95.64
45,0.042144189765458424,0.04538216560509554,95.78333333333333,95.44
